MPN;;Manufacturer;Quantity;Designation;
MCP1703A-5002E/DB;500053801;Microchip Technology;1;MCP1703Ax-500xxDB;U6
MCP1703A-3302E/DB;500053800;Microchip Technology;1;MCP1703Ax-330xxDB;U5
ULN2003A;501429305;UMW;1;ULN2003A;U4
ESP32-WROOM-32E-N4;500186636;Espressif Systems;1;ESP32-WROOM-32;U3
MCP2562-E/SN;500054071;Microchip Technology;1;MCP2562-E-SN;U2
PESD2CAN;501716486;DART;1;PESD2CAN;U1
RT0603FRE0727KL;501355046;YAGEO;3;27K;R7,R5,R1
AA0603JR-0710KL;501762420;YAGEO;3;10K;R6,R3,R2,R4
GRM188R71E104KA01D;500015875;Murata;7;100n;C15,C12,C10,C9,C8,C4,C1
CL21B106KPQNNNG;501368261;Samsung Electro-Mechanics;5;10u;C14,C13,C7,C6,C3
CL10B105KA8NFNC;500024764;Samsung Electro-Mechanics;1;1u;C2
